iter	Passed	Remaining
399	42189	590657
400	42302	590648
401	42399	590425
402	42492	590147
403	42605	590150
404	42703	589940
405	42817	589955
406	42927	589906
407	43021	589647
408	43158	589969
409	43249	589666
410	43360	589643
411	43451	589342
412	43581	589567
413	43682	589401
414	43820	589724
415	43948	589921
416	44078	590139
417	44206	590336
418	44301	590092
419	44431	590306
420	44570	590642
421	44667	590409
422	44794	590582
423	44893	590396
424	45007	590393
425	45101	590134
426	45216	590144
427	45328	590119
428	45441	590102
429	45551	590046
430	45685	590307
431	45815	590504
432	45931	590538
433	46024	590261
434	46119	590014
435	46234	590019
436	46349	590030
437	46478	590214
438	46612	590460
439	46705	590190
440	46797	589903
441	46896	589702
442	47012	589720
443	47108	589498
444	47204	589262
445	47300	589033
446	47416	589048
447	47531	589052
448	47633	588893
449	47743	588837
450	47837	588579
451	47952	588582
452	48050	588378
453	48164	588365
454	48257	588105
455	48351	587858
456	48463	587818
457	48571	587737
458	48689	587770
459	48778	587467
460	48913	587709
461	49009	587482
462	49117	587395
463	49208	587108
464	49319	587065
465	49416	586848
466	49508	586578
467	49605	586359
468	49720	586367
469	49812	586094
470	49905	585828
471	50015	585770
472	50128	585755
473	50258	585921
474	50373	585926
475	50470	585709
476	50585	585707
477	50697	585671
478	50830	585871
479	50923	585615
480	51057	585832
481	51171	585817
482	51261	585522
483	51371	585461
484	51501	585634
485	51617	585637
486	51731	585619
487	51825	585373
488	51954	585521
489	52048	585282
490	52143	585043
491	52253	584986
492	52344	584713
493	52470	584821
494	52564	584581
495	52659	584347
496	52752	584093
497	52881	584242
498	52991	584175
499	53101	584120
500	53215	584100
501	53326	584040
502	53420	583805
503	53535	583791
504	53630	583560
505	53762	583732
506	53873	583683
507	53968	583456
508	54081	583422
509	54193	583371
510	54293	583200
511	54422	583337
512	54518	583121
513	54610	582862
514	54721	582812
515	54816	582582
516	54930	582565
517	55029	582378
518	55141	582331
519	55271	582481
520	55389	582497
521	55502	582457
522	55630	582575
523	55759	582712
524	55871	582659
525	55985	582637
526	56099	582599
527	56190	582339
528	56282	582079
529	56393	582022
530	56488	581796
531	56598	581732
532	56708	581664
533	56805	581455
534	56899	581222
535	57014	581204
536	57129	581190
537	57222	580950
538	57334	580901
539	57445	580833
540	57562	580840
541	57659	580635
542	57769	580563
543	57893	580641
544	58008	580614
545	58103	580398
546	58193	580126
547	58324	580261
548	58417	580020
549	58514	579828
550	58611	579621
551	58724	579587
552	58832	579491
553	58922	579231
554	59014	578982
555	59107	578742
556	59216	578661
557	59309	578429
558	59423	578400
559	59515	578152
560	59642	578245
561	59774	578382
562	59904	578504
563	60018	578471
564	60110	578235
565	60203	577996
566	60314	577934
567	60427	577888
568	60537	577816
569	60648	577759
570	60761	577717
571	60859	577524
572	60950	577276
573	61044	577049
574	61175	577173
575	61266	576928
576	61360	576707
577	61473	576663
578	61606	576804
579	61716	576726
580	61809	576503
581	61921	576448
582	62035	576410
583	62131	576201
584	62226	575993
585	62319	575768
586	62435	575742
587	62546	575685
588	62643	575487
589	62736	575264
590	62850	575221
591	62942	574984
592	63058	574968
593	63151	574740
594	63265	574710
595	63361	574508
596	63458	574313
597	63551	574090
598	63686	574239
599	63815	574335
600	63940	574398
601	64034	574185
602	64144	574109
603	64242	573924
604	64338	573728
605	64450	573670
606	64583	573803
607	64714	573919
608	64814	573752
609	64928	573713
610	65020	573478
611	65111	573233
612	65227	573210
613	65359	573331
614	65450	573090
615	65542	572859
616	65633	572618
617	65729	572417
618	65838	572336
619	65953	572308
620	66048	572102
621	66139	571861
622	66229	571616
623	66344	571579
624	66439	571381
625	66554	571351
626	66648	571136
627	66738	570894
628	66850	570836
629	66970	570840
630	67090	570856
631	67242	571133
632	67340	570960
633	67501	571312
634	67603	571171
635	67699	570974
636	67798	570803
637	67916	570792
638	68064	571035
639	68171	570939
640	68275	570806
641	68369	570597
642	68461	570366
643	68553	570140
644	68663	570063
645	68757	569853
646	68849	569633
647	68938	569378
648	69049	569313
649	69144	569110
650	69238	568902
651	69327	568652
652	69418	568426
653	69529	568356
654	69625	568169
655	69721	567976
656	69837	567947
657	69931	567738
658	70024	567527
659	70115	567294
660	70249	567414
661	70341	567198
662	70431	566957
663	70545	566917
664	70656	566845
665	70752	566660
666	70845	566443
667	70956	566378
668	71071	566341
669	71184	566288
670	71279	566094
671	71373	565887
672	71468	565693
673	71561	565481
674	71669	565390
675	71762	565181
676	71896	565294
677	72007	565228
678	72100	565016
679	72209	564932
680	72302	564720
681	72397	564527
682	72490	564320
683	72580	564090
684	72714	564198
685	72831	564178
686	72943	564116
687	73042	563958
688	73138	563768
689	73271	563870
690	73394	563895
691	73507	563843
692	73622	563800
693	73721	563641
694	73863	563809
695	73994	563888
696	74089	563696
697	74222	563791
698	74332	563713
699	74420	563466
700	74547	563520
701	74641	563320
702	74750	563230
703	74862	563166
704	74995	563261
705	75129	563368
706	75237	563273
707	75364	563315
708	75475	563245
709	75568	563035
710	75662	562842
711	75758	562659
712	75876	562635
713	75984	562543
714	76079	562352
715	76171	562139
716	76267	561957
717	76400	562040
718	76491	561823
719	76586	561634
720	76703	561608
721	76844	561751
722	76938	561552
723	77053	561509
724	77146	561310
725	77258	561241
726	77369	561167
727	77474	561055
728	77569	560863
729	77675	560756
730	77787	560687
731	77925	560810
732	78022	560631
733	78115	560430
734	78225	560351
735	78318	560149
736	78428	560064
737	78540	560002
738	78649	559914
739	78746	559737
740	78841	559549
741	78953	559481
742	79047	559291
743	79140	559092
744	79251	559012
745	79343	558810
746	79437	558611
747	79549	558548
748	79640	558336
749	79756	558292
750	79852	558119
751	79964	558052
752	80077	557990
753	80169	557783
754	80302	557862
755	80443	557996
756	80544	557856
757	80654	557768
758	80790	557868
759	80878	557632
760	80974	557460
761	81067	557256
762	81158	557050
763	81289	557111
764	81421	557178
765	81515	556990
766	81629	556931
767	81723	556740
768	81812	556517
769	81925	556458
770	82021	556276
771	82115	556089
772	82225	556005
773	82317	555803
774	82431	555748
775	82525	555560
776	82620	555372
777	82736	555335
778	82868	555399
779	82977	555313
780	83072	555131
781	83184	555060
782	83277	554865
783	83410	554935
784	83523	554875
785	83638	554823
786	83781	554960
787	83921	555073
788	84015	554888
789	84112	554715
790	84204	554518
791	84318	554459
792	84434	554413
793	84546	554343
794	84640	554154
795	84759	554130
796	84850	553924
797	84965	553875
798	85079	553816
799	85191	553745
800	85284	553547
801	85377	553356
802	85470	553165
803	85561	552960
804	85658	552792
805	85754	552617
806	85847	552421
807	85953	552315
808	86081	552345
809	86178	552178
810	86294	552138
811	86408	552080
812	86525	552036
813	86619	551850
814	86713	551670
815	86812	551511
816	86925	551453
817	87020	551273
818	87108	551050
819	87219	550973
820	87311	550773
821	87423	550704
822	87550	550725
823	87673	550728
824	87792	550700
825	87918	550716
826	88010	550520
827	88139	550550
828	88249	550469
829	88381	550522
830	88475	550334
831	88585	550250
832	88681	550083
833	88798	550038
834	88907	549948
835	89000	549758
836	89112	549685
837	89229	549647
838	89320	549446
839	89447	549466
840	89562	549406
841	89655	549220
842	89770	549167
843	89863	548974
844	89956	548785
845	90048	548596
846	90163	548539
847	90278	548486
848	90372	548300
849	90466	548119
850	90562	547950
851	90653	547751
852	90782	547783
853	90894	547711
854	91005	547627
855	91118	547564
856	91251	547614
857	91346	547438
858	91455	547348
859	91574	547318
860	91664	547114
861	91798	547170
862	91894	547000
863	92007	546936
864	92140	546985
865	92253	546918
866	92348	546740
867	92444	546571
868	92577	546624
869	92695	546585
870	92812	546539
871	92925	546472
872	93067	546569
873	93207	546662
874	93321	546595
875	93431	546511
876	93563	546551
877	93668	546435
878	93790	546414
879	93895	546301
880	94011	546250
881	94122	546168
882	94221	546012
883	94358	546085
884	94451	545899
885	94562	545816
886	94658	545644
887	94777	545609
888	94895	545567
889	95012	545524
890	95123	545437
891	95217	545258
892	95307	545057
893	95400	544870
894	95495	544699
895	95590	544526
896	95697	544420
897	95789	544231
898	95909	544198
899	96022	544127
900	96140	544084
901	96273	544126
902	96391	544081
903	96517	544087
904	96611	543905
905	96702	543708
906	96817	543651
907	96931	543585
908	97050	543548
909	97144	543367
910	97241	543205
911	97359	543165
912	97470	543081
913	97566	542914
914	97679	542842
915	97775	542676
916	97891	542622
917	98005	542552
918	98098	542368
919	98189	542178
920	98302	542107
921	98395	541920
922	98504	541828
923	98607	541698
924	98770	541902
925	98899	541917
926	99013	541848
927	99117	541725
928	99214	541568
929	99352	541632
930	99453	541492
931	99551	541336
932	99672	541309
933	99790	541261
934	99926	541311
935	100055	541327
936	100153	541169
937	100247	540992
938	100342	540822
939	100456	540752
940	100584	540761
941	100678	540584
942	100772	540408
943	100886	540343
944	100981	540168
945	101095	540100
946	101214	540057
947	101307	539881
948	101423	539822
949	101558	539862
950	101675	539808
951	101764	539607
952	101856	539422
953	101948	539236
954	102039	539044
955	102131	538863
956	102243	538780
957	102332	538580
958	102420	538377
959	102530	538286
960	102623	538106
961	102735	538025
962	102868	538054
963	102980	537976
964	103072	537793
965	103171	537644
966	103284	537568
967	103401	537514
968	103515	537447
969	103603	537245
970	103701	537090
971	103802	536952
972	103924	536925
973	104036	536845
974	104127	536656
975	104241	536585
976	104355	536515
977	104447	536337
978	104541	536159
979	104670	536169
980	104800	536181
981	104893	536002
982	104987	535829
983	105098	535743
984	105206	535645
985	105325	535599
986	105443	535552
987	105538	535381
988	105627	535188
989	105745	535133
990	105842	534978
991	105932	534790
992	106022	534596
993	106115	534420
994	106207	534238
995	106300	534062
996	106393	533887
997	106487	533715
998	106600	533643
999	106692	533460
1000	106824	533482
1001	106916	533303
1002	107009	533125
1003	107103	532958
1004	107199	532798
1005	107293	532627
1006	107381	532430
1007	107489	532329
1008	107583	532160
1009	107698	532093
1010	107834	532134
1011	107925	531950
1012	108020	531784
1013	108149	531789
1014	108268	531741
1015	108366	531595
1016	108460	531424
1017	108556	531263
1018	108671	531200
1019	108773	531068
1020	108890	531013
1021	109006	530955
1022	109104	530803
1023	109238	530831
1024	109332	530664
1025	109448	530601
1026	109570	530568
1027	109665	530406
1028	109764	530263
1029	109858	530096
1030	109955	529940
1031	110072	529884
1032	110166	529714
1033	110258	529541
1034	110371	529464
1035	110484	529386
1036	110599	529322
1037	110732	529339
1038	110824	529164
1039	110953	529162
1040	111050	529011
1041	111168	528956
1042	111263	528793
1043	111389	528779
1044	111518	528777
1045	111630	528695
1046	111766	528727
1047	111897	528736
1048	111991	528569
1049	112090	528426
1050	112207	528370
1051	112302	528203
1052	112415	528126
1053	112529	528055
1054	112640	527969
1055	112773	527986
1056	112888	527914
1057	112979	527737
1058	113073	527571
1059	113167	527401
1060	113259	527229
1061	113349	527042
1062	113444	526880
1063	113535	526701
1064	113631	526543
1065	113731	526409
1066	113847	526344
1067	113945	526195
1068	114061	526133
1069	114189	526126
1070	114286	525972
1071	114387	525840
1072	114484	525691
1073	114601	525629
1074	114699	525485
1075	114817	525427
1076	114911	525264
1077	115002	525083
1078	115117	525018
1079	115211	524850
1080	115311	524716
1081	115426	524648
1082	115515	524459
1083	115640	524435
1084	115756	524373
1085	115871	524304
1086	116008	524332
1087	116102	524166
1088	116196	524003
1089	116327	524009
1090	116443	523941
1091	116537	523778
1092	116632	523621
1093	116724	523445
1094	116839	523376
1095	116953	523304
1096	117068	523235
1097	117201	523244
1098	117289	523053
1099	117384	522892
1100	117518	522909
1101	117645	522893
1102	117760	522823
1103	117877	522760
1104	117973	522605
1105	118088	522534
1106	118219	522535
1107	118337	522477
1108	118431	522317
1109	118523	522142
1110	118638	522071
1111	118729	521896
1112	118861	521902
1113	118972	521812
1114	119085	521733
1115	119178	521567
1116	119270	521395
1117	119363	521228
1118	119454	521052
1119	119588	521065
1120	119704	520998
1121	119820	520931
1122	119914	520768
1123	120004	520589
1124	120094	520407
1125	120222	520394
1126	120341	520340
1127	120454	520262
1128	120549	520102
1129	120659	520009
1130	120795	520028
1131	120893	519886
1132	121003	519792
1133	121114	519702
1134	121230	519637
1135	121346	519567
1136	121459	519488
1137	121570	519398
1138	121663	519232
1139	121755	519063
1140	121848	518899
1141	121982	518907
1142	122096	518829
1143	122202	518720
1144	122297	518561
1145	122410	518481
1146	122507	518331
1147	122619	518247
1148	122748	518235
1149	122859	518146
1150	122973	518071
1151	123066	517903
1152	123176	517811
1153	123307	517804
1154	123420	517725
1155	123535	517652
1156	123665	517641
1157	123797	517641
1158	123927	517631
1159	124025	517484
1160	124120	517327
1161	124214	517168
1162	124307	517004
1163	124405	516861
1164	124498	516694
1165	124593	516539
1166	124685	516369
1167	124780	516214
1168	124876	516063
1169	124992	515992
1170	125086	515834
1171	125181	515677
1172	125313	515674
1173	125427	515598
1174	125518	515425
1175	125633	515352
1176	125730	515205
1177	125822	515040
1178	125917	514883
1179	126012	514728
1180	126103	514557
1181	126197	514400
1182	126327	514387
1183	126423	514234
1184	126536	514154
1185	126652	514087
1186	126744	513918
1187	126836	513753
1188	126949	513671
1189	127049	513535
1190	127164	513463
1191	127255	513291
1192	127364	513193
1193	127473	513096
1194	127567	512937
1195	127700	512939
1196	127813	512854
1197	127903	512683
1198	127997	512523
1199	128089	512359
1200	128224	512362
1201	128334	512268
1202	128465	512258
1203	128582	512195
1204	128714	512185
1205	128832	512125
1206	128930	511984
1207	129048	511921
1208	129163	511847
1209	129297	511848
1210	129398	511717
1211	129496	511574
1212	129608	511489
1213	129701	511327
1214	129818	511259
1215	129933	511186
1216	130030	511040
1217	130124	510881
1218	130266	510913
1219	130385	510856
1220	130508	510809
1221	130628	510756
1222	130760	510745
1223	130861	510617
1224	130959	510476
1225	131059	510341
1226	131159	510207
1227	131279	510150
1228	131373	509994
1229	131471	509851
1230	131589	509787
1231	131689	509654
1232	131802	509571
1233	131932	509554
1234	132057	509516
1235	132154	509370
1236	132252	509231
1237	132348	509080
1238	132443	508929
1239	132569	508895
1240	132663	508738
1241	132755	508576
1242	132870	508500
1243	132980	508403
1244	133076	508256
1245	133214	508266
1246	133308	508111
1247	133404	507963
1248	133499	507810
1249	133611	507724
1250	133706	507571
1251	133835	507549
1252	133970	507547
1253	134087	507478
1254	134181	507322
1255	134294	507241
1256	134409	507162
1257	134502	507005
1258	134616	506924
1259	134708	506761
1260	134828	506703
1261	134957	506679
1262	135051	506522
1263	135178	506492
1264	135276	506349
1265	135391	506273
1266	135484	506116
1267	135594	506018
1268	135712	505952
1269	135830	505888
1270	135960	505868
1271	136073	505781
1272	136188	505706
1273	136278	505533
1274	136390	505448
1275	136488	505305
1276	136581	505147
1277	136674	504988
1278	136765	504824
1279	136863	504683
1280	136954	504518
1281	137048	504363
1282	137142	504208
1283	137266	504167
1284	137364	504027
1285	137457	503869
1286	137572	503791
1287	137688	503716
1288	137816	503687
1289	137911	503539
1290	138026	503461
1291	138120	503306
1292	138258	503311
1293	138374	503237
1294	138489	503159
1295	138624	503155
1296	138726	503030
1297	138822	502883
1298	138914	502722
1299	139009	502571
1300	139103	502418
1301	139195	502257
1302	139293	502119
1303	139390	501976
1304	139500	501882
1305	139617	501810
1306	139746	501781
1307	139836	501616
1308	139931	501465
1309	140032	501336
1310	140126	501184
1311	140220	501031
1312	140315	500884
1313	140407	500723
1314	140502	500572
1315	140614	500484
1316	140748	500473
1317	140847	500340
1318	140964	500269
1319	141079	500191
1320	141195	500117
1321	141313	500050
1322	141413	499916
1323	141527	499834
1324	141637	499738
1325	141732	499590
1326	141846	499508
1327	141958	499421
1328	142074	499343
1329	142168	499193
1330	142265	499051
1331	142378	498966
1332	142471	498810
1333	142568	498667
1334	142661	498512
1335	142756	498364
1336	142852	498220
1337	142965	498135
1338	143056	497972
1339	143171	497894
1340	143290	497831
1341	143425	497820
1342	143520	497674
1343	143614	497523
1344	143771	497587
1345	143920	497625
1346	144020	497497
1347	144113	497342
1348	144212	497208
1349	144306	497057
1350	144404	496918
1351	144514	496822
1352	144606	496664
1353	144700	496513
1354	144795	496366
1355	144891	496220
1356	144986	496073
1357	145118	496052
