iter	Logloss
0	0.6748230016
5	0.5979467305
10	0.5398247673
15	0.4944319635
20	0.4585630924
25	0.431893649
30	0.4116607841
35	0.3947704571
40	0.3813995658
45	0.3702638183
50	0.3614203166
55	0.3542518857
60	0.34793031
65	0.3428903635
70	0.3384253719
75	0.3340153225
80	0.331123417
85	0.3284415167
90	0.325941248
95	0.3237872305
100	0.3218145488
105	0.3200899797
110	0.3185475749
115	0.3172863308
120	0.3159559431
125	0.3148626025
130	0.3139585566
135	0.3130503982
140	0.3122639883
145	0.3114648266
150	0.3107757268
155	0.3101634336
160	0.3096775637
165	0.3091285857
170	0.3086308515
175	0.3081667277
180	0.3077112727
185	0.3073049313
190	0.3069650117
195	0.3065689368
200	0.3062390471
205	0.3059416729
210	0.305596694
215	0.305326569
220	0.305070113
225	0.3048665281
230	0.3046303092
235	0.3043863387
240	0.3041418061
245	0.3039428959
250	0.3037003455
255	0.3034851627
260	0.303295306
265	0.3030831706
270	0.3029474276
275	0.3027419492
280	0.3025909099
285	0.3024027988
290	0.3022432091
295	0.3020651573
300	0.3019088813
305	0.3017796474
310	0.3016124243
315	0.3014855573
320	0.3013390744
325	0.3011978283
330	0.301037351
335	0.3008959866
340	0.3007427579
345	0.3006441164
350	0.3005093202
355	0.3004093178
360	0.3002852615
365	0.3001329796
370	0.2999730053
375	0.2998788313
380	0.2997419345
385	0.2996206889
390	0.299502254
395	0.2994095003
400	0.2992787574
405	0.2991711216
410	0.2990190469
415	0.2989317666
420	0.29882777
425	0.2987296019
430	0.2986193625
435	0.298501253
440	0.2983966351
445	0.2983095619
450	0.2982172816
455	0.2981463922
460	0.2980522775
465	0.2979716246
470	0.2979083982
475	0.2977892533
480	0.2977042808
485	0.297637859
490	0.2975585967
495	0.2974659613
500	0.2974076462
505	0.2973278514
510	0.297268057
515	0.2971869899
520	0.2971106863
525	0.2970450929
530	0.2969872513
535	0.2969089062
540	0.2968371884
545	0.2967700566
550	0.2967131913
555	0.2966297277
560	0.2965532169
565	0.2964820317
570	0.2963903727
575	0.2962749852
580	0.2962160489
585	0.296131461
590	0.2960521987
595	0.2959946825
600	0.2959217221
605	0.2958568684
610	0.2957757422
615	0.2957190544
620	0.2956555025
625	0.2955911222
630	0.2955336356
635	0.2954667997
640	0.2954083663
645	0.2953291927
650	0.2952784518
655	0.295228421
660	0.2951631531
665	0.2950817014
670	0.2950206348
675	0.2949704265
680	0.2949097741
685	0.2948380564
690	0.2947822858
695	0.2947260418
700	0.2946742949
705	0.2946001511
710	0.2945347649
715	0.2944895567
720	0.2944482243
725	0.2944009746
730	0.2943275408
735	0.294273072
740	0.2942154967
745	0.2941454654
750	0.2940827715
755	0.2940114384
760	0.2939433598
765	0.2938833583
770	0.2938540972
775	0.2938247474
780	0.2937701011
785	0.2936942708
790	0.29363279
795	0.2935788834
800	0.2935125208
805	0.2934429037
810	0.2933899734
815	0.2933519547
820	0.2933092318
825	0.2932681065
830	0.2932141111
835	0.2931776309
840	0.2931103511
845	0.2930769479
850	0.2930362073
855	0.2929943423
860	0.2929471518
865	0.2928831562
870	0.2928185096
875	0.2927596916
880	0.2927222646
885	0.292676228
890	0.2926351619
895	0.2925764622
900	0.2925284137
905	0.2924807794
910	0.2924322279
915	0.2923787355
920	0.292309858
925	0.2922670463
930	0.2922198558
935	0.2921664817
940	0.2921272204
945	0.2920915686
950	0.2920582838
955	0.2920255611
960	0.2919891993
965	0.2919511806
970	0.291919523
975	0.2918714153
980	0.2918371837
985	0.2917873304
990	0.291751294
995	0.2917114409
1000	0.2916693985
1005	0.291621705
1010	0.2915739228
1015	0.2915111402
1020	0.2914782104
1025	0.2914348069
1030	0.291375841
1035	0.2913331476
1040	0.2912716076
1045	0.2912148311
1050	0.2911798894
1055	0.2911370185
1060	0.2911006863
1065	0.2910699459
1070	0.2910432292
1075	0.2909955062
1080	0.2909579904
1085	0.2909026045
1090	0.2908570412
1095	0.2908046139
1100	0.2907488137
1105	0.290698132
1110	0.2906588707
1115	0.2906135441
1120	0.2905791941
1125	0.2905164115
1130	0.2904663807
1135	0.2904242199
1140	0.2903851657
1145	0.2903556679
1150	0.2903260222
1155	0.2902854295
1160	0.2902461978
1165	0.2902131496
1170	0.2901877052
1175	0.2901378815
1180	0.2901141235
1185	0.2900729982
1190	0.2900373169
1195	0.289978706
1200	0.2899418708
1205	0.2898986744
1210	0.2898571645
1215	0.2898214832
1220	0.2897821331
1225	0.2897587893
1230	0.2897031962
1235	0.289665503
1240	0.2896353839
1245	0.2895833708
1250	0.2895536068
1255	0.2895100258
1260	0.2894777469
1265	0.289427006
1270	0.28939094
1275	0.2893462644
1280	0.2893114706
1285	0.289279961
1290	0.2892503449
1295	0.2892112906
1300	0.2891769111
1305	0.2891505791
1310	0.2891001932
1315	0.2890609023
1320	0.2890046879
1325	0.2889635627
1330	0.2889254552
1335	0.2888952178
1340	0.2888725545
1345	0.2888354234
1350	0.2888069316
1355	0.2887740314
1360	0.288725687
1365	0.2886838812
1370	0.2886530816
1375	0.28861885
1380	0.2885751803
1385	0.2885367474
1390	0.2884986696
1395	0.288451124
1400	0.2884145255
1405	0.2883640804
1410	0.2883225705
1415	0.2882908538
1420	0.2882636342
1425	0.2882247575
1430	0.2881833659
1435	0.2881557321
1440	0.2881364121
1445	0.2881065297
1450	0.288080464
1455	0.2880341907
1460	0.2879959945
1465	0.2879515851
1470	0.2879040099
1475	0.2878700742
1480	0.2878353988
1485	0.2878061673
1490	0.2877747168
1495	0.2877442427
1500	0.2877009576
1505	0.2876768742
1510	0.2876349205
1515	0.2875910732
1520	0.2875527883
1525	0.2875229946
1530	0.2874905086
1535	0.2874586735
1540	0.287426868
1545	0.2873863937
1550	0.2873477832
1555	0.2873063029
1560	0.2872671304
1565	0.2872435499
1570	0.287212129
1575	0.2871653527
1580	0.2871351449
1585	0.2870991676
1590	0.2870682201
1595	0.2870371839
1600	0.2869865022
1605	0.2869467083
1610	0.2869023877
1615	0.2868617358
1620	0.2868187761
1625	0.2867830948
1630	0.2867407565
1635	0.2867189512
1640	0.2866753111
1645	0.2866442452
1650	0.2866138007
1655	0.286599037
1660	0.286574924
1665	0.2865285323
1670	0.2864928509
1675	0.2864681462
1680	0.2864214882
1685	0.2863550073
1690	0.2863247995
1695	0.286281544
1700	0.2862447679
1705	0.2862218384
1710	0.2861899441
1715	0.2861434636
1720	0.2861030485
1725	0.2860703258
1730	0.2860397333
1735	0.286003549
1740	0.285970057
1745	0.2859265352
1750	0.2858959132
1755	0.2858570365
1760	0.2858185148
1765	0.2857808512
1770	0.285752744
1775	0.2857222698
1780	0.2856859968
1785	0.2856505817
1790	0.2856088647
1795	0.2855735384
1800	0.2855512301
1805	0.2855099569
1810	0.2854770271
1815	0.2854392155
1820	0.2854105462
1825	0.2853750128
1830	0.2853413729
1835	0.2853105437
1840	0.285274892
1845	0.2852437078
1850	0.2852050974
1855	0.2851611022
1860	0.2851282907
1865	0.2851028759
1870	0.2850861891
1875	0.2850389098
1880	0.2850150927
1885	0.2849730502
1890	0.2849419252
1895	0.2848954448
1900	0.2848552367
1905	0.284815857
1910	0.2847930458
1915	0.284763548
1920	0.2847328668
1925	0.2846948481
1930	0.2846644627
1935	0.2846231304
1940	0.2845932776
1945	0.2845498741
1950	0.284528276
1955	0.2844940739
1960	0.28445715
1965	0.2844370311
1970	0.2844040125
1975	0.2843805208
1980	0.2843480053
